出表日期,資料年月,公司代號,公司名稱,職稱,姓名,選任時持股,目前持股,設質股數,設質股數佔持股比例,內部人關係人目前持股合計,內部人關係人設質股數,內部人關係人設質比例
"1150520","11504","1240","茂生農經","董事長本人","吳清德","714925","774599","0","0.00%","722459","0","0.00%"
"1150520","11504","1240","茂生農經","董事本人","茂元國際股份有限公司","797099","852895","0","0.00%","0","0","0.00%"
"1150520","11504","1240","茂生農經","董事之法人代表人","羅任芬","0","9625","0","0.00%","0","0","0.00%"
"1150520","11504","1240","茂生農經","董事本人","瓏德國際事業股份有限公司","2429820","2599907","1070000","41.15%","0","0","0.00%"
"1150520","11504","1240","茂生農經","董事之法人代表人","黃大中","0","612766","0","0.00%","400631","0","0.00%"
"1150520","11504","1240","茂生農經","董事本人","徐維宏","645526","690712","0","0.00%","125802","0","0.00%"
"1150520","11504","1240","茂生農經","董事本人","黃燦輝","0","0","0","0.00%","2394","0","0.00%"
"1150520","11504","1240","茂生農經","獨立董事本人","魏巍","0","0","0","0.00%","0","0","0.00%"
"1150520","11504","1240","茂生農經","獨立董事本人","李建裕","0","0","0","0.00%","0","0","0.00%"
"1150520","11504","1240","茂生農經","獨立董事本人","張榮銘","0","0","0","0.00%","1117","0","0.00%"
"1150520","11504","1240","茂生農經","獨立董事本人","廖震元","0","0","0","0.00%","0","0","0.00%"
"1150520","11504","1240","茂生農經","總經理本人","吳清德","0","774599","0","0.00%","722459","0","0.00%"
"1150520","11504","1240","茂生農經","副總經理本人","黃大中","0","612766","0","0.00%","400631","0","0.00%"
"1150520","11504","1240","茂生農經","副總經理本人","鍾亮宏","0","111169","0","0.00%","63694","0","0.00%"
"1150520","11504","1240","茂生農經","經理本人","林信鴻","0","33107","0","0.00%","215023","0","0.00%"
"1150520","11504","1240","茂生農經","協理本人","葉明球","0","525899","0","0.00%","5041","0","0.00%"
"1150520","11504","1240","茂生農經","財務部門主管本人","葉明球","0","525899","0","0.00%","5041","0","0.00%"
"1150520","11504","1240","茂生農經","會計部門主管本人","邱紹齊","0","0","0","0.00%","0","0","0.00%"
"1150520","11504","1259","安心","董事長本人","黃茂雄","0","0","0","0.00%","48420","0","0.00%"
"1150520","11504","1259","安心","副董事長本人","光元實業股份有限公司","8925807","8925807","4000000","44.81%","0","0","0.00%"
"1150520","11504","1259","安心","副董事長之法人代表人","高順興","0","88142","0","0.00%","0","0","0.00%"
"1150520","11504","1259","安心","董事本人","光元實業股份有限公司","8925807","8925807","4000000","44.81%","0","0","0.00%"
"1150520","11504","1259","安心","董事之法人代表人","黃尚莉","0","0","0","0.00%","0","0","0.00%"
"1150520","11504","1259","安心","董事本人","日商魔術食品服務股份有限公司","8098464","8098464","0","0.00%","0","0","0.00%"
"1150520","11504","1259","安心","董事之法人代表人","福光昭夫","0","0","0","0.00%","0","0","0.00%"
"1150520","11504","1259","安心","董事本人","日商魔術食品服務股份有限公司","8098464","8098464","0","0.00%","0","0","0.00%"
"1150520","11504","1259","安心","董事之法人代表人","平林篤","0","0","0","0.00%","0","0","0.00%"
"1150520","11504","1259","安心","董事本人","日商魔術食品服務股份有限公司","8098464","8098464","0","0.00%","0","0","0.00%"
"1150520","11504","1259","安心","董事之法人代表人","瀧深淳","0","0","0","0.00%","0","0","0.00%"
"1150520","11504","1259","安心","董事本人","光元實業股份有限公司","8925807","8925807","4000000","44.81%","0","0","0.00%"
"1150520","11504","1259","安心","董事之法人代表人","林建元","0","0","0","0.00%","0","0","0.00%"
"1150520","11504","1259","安心","董事本人","張炯昌","0","0","0","0.00%","0","0","0.00%"
"1150520","11504","1259","安心","獨立董事本人","龔仁文","0","0","0","0.00%","0","0","0.00%"
"1150520","11504","1259","安心","獨立董事本人","賴瑟珍","0","0","0","0.00%","0","0","0.00%"
"1150520","11504","1259","安心","獨立董事本人","劉維琪","0","0","0","0.00%","0","0","0.00%"
